Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48
The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48
The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34
Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99
The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18
The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48,The Compound Effect,Darren Hardy,5,9.48
The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48,The 7 Habits of Highly Effective People,Stephen R. Covey,4,23.48
The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34,The Miracle Morning,Hal Elrod,10,21.34
Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99,Influence: The Psychology of Persuasion,Robert B. Cialdini,4,12.99
The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18,The ONE Thing,Gary Keller,1,11.18
The Compound Effect,Darren Hardy,"3,733333333",9.49,The Compound Effect,Darren Hardy,"3,733333333",9.49,The Compound Effect,Darren Hardy,"3,733333333",9.49,The Compound Effect,Darren Hardy,"3,733333333",9.49,The Compound Effect,Darren Hardy,"3,733333333",9.49
The 7 Habits of Highly Effective People,Stephen R. Covey,"3,539393939",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"3,539393939",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"3,539393939",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"3,539393939",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"3,539393939",23.49
The Miracle Morning,Hal Elrod,"3,345454545",21.35,The Miracle Morning,Hal Elrod,"3,345454545",21.35,The Miracle Morning,Hal Elrod,"3,345454545",21.35,The Miracle Morning,Hal Elrod,"3,345454545",21.35,The Miracle Morning,Hal Elrod,"3,345454545",21.35
Influence: The Psychology of Persuasion,Robert B. Cialdini,"3,151515152",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"3,151515152",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"3,151515152",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"3,151515152",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"3,151515152",12.100
The ONE Thing,Gary Keller,"2,957575758",11.19,The ONE Thing,Gary Keller,"2,957575758",11.19,The ONE Thing,Gary Keller,"2,957575758",11.19,The ONE Thing,Gary Keller,"2,957575758",11.19,The ONE Thing,Gary Keller,"2,957575758",11.19
The Compound Effect,Darren Hardy,"2,763636364",9.49,The Compound Effect,Darren Hardy,"2,763636364",9.49,The Compound Effect,Darren Hardy,"2,763636364",9.49,The Compound Effect,Darren Hardy,"2,763636364",9.49,The Compound Effect,Darren Hardy,"2,763636364",9.49
The 7 Habits of Highly Effective People,Stephen R. Covey,"2,56969697",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"2,56969697",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"2,56969697",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"2,56969697",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"2,56969697",23.49
The Miracle Morning,Hal Elrod,"2,375757576",21.35,The Miracle Morning,Hal Elrod,"2,375757576",21.35,The Miracle Morning,Hal Elrod,"2,375757576",21.35,The Miracle Morning,Hal Elrod,"2,375757576",21.35,The Miracle Morning,Hal Elrod,"2,375757576",21.35
Influence: The Psychology of Persuasion,Robert B. Cialdini,"2,181818182",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"2,181818182",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"2,181818182",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"2,181818182",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"2,181818182",12.100
The ONE Thing,Gary Keller,"1,987878788",11.19,The ONE Thing,Gary Keller,"1,987878788",11.19,The ONE Thing,Gary Keller,"1,987878788",11.19,The ONE Thing,Gary Keller,"1,987878788",11.19,The ONE Thing,Gary Keller,"1,987878788",11.19
The Compound Effect,Darren Hardy,"1,793939394",9.50,The Compound Effect,Darren Hardy,"1,793939394",9.50,The Compound Effect,Darren Hardy,"1,793939394",9.50,The Compound Effect,Darren Hardy,"1,793939394",9.50,The Compound Effect,Darren Hardy,"1,793939394",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"1,6",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"1,6",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"1,6",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"1,6",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"1,6",23.50
The Miracle Morning,Hal Elrod,"1,406060606",21.36,The Miracle Morning,Hal Elrod,"1,406060606",21.36,The Miracle Morning,Hal Elrod,"1,406060606",21.36,The Miracle Morning,Hal Elrod,"1,406060606",21.36,The Miracle Morning,Hal Elrod,"1,406060606",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"1,212121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"1,212121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"1,212121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"1,212121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"1,212121212",12.101
The ONE Thing,Gary Keller,"1,018181818",11.20,The ONE Thing,Gary Keller,"1,018181818",11.20,The ONE Thing,Gary Keller,"1,018181818",11.20,The ONE Thing,Gary Keller,"1,018181818",11.20,The ONE Thing,Gary Keller,"1,018181818",11.20
The Compound Effect,Darren Hardy,"0,8242424242",9.50,The Compound Effect,Darren Hardy,"0,8242424242",9.50,The Compound Effect,Darren Hardy,"0,8242424242",9.50,The Compound Effect,Darren Hardy,"0,8242424242",9.50,The Compound Effect,Darren Hardy,"0,8242424242",9.50
